"";"codeplas";"K_mean"
"1";"ANTARE0025";18,4491666666667
"2";"ANTARE0309";1,58166666666667
"3";"ANTBAA0036";3,52833333333333
"4";"ANTMRK0177";9,47666666666667
"5";"ANTMRK0204";4,53333333333333
"6";"ANTMRK0206";14,8891666666667
"7";"ANTOTH0015";5,02166666666667
"8";"ANTOTH0270";1,443
"9";"ANTOTH0271";2,41176470588235
"10";"ANTOTH0306";4,27727272727273
"11";"ANTOTH0324";2,84761904761905
"12";"ANTRAV0014";0,6125
"13";"ANTRAV0052";7,75875
"14";"ANTRAV0122";2,91090909090909
"15";"ANTRAV0175";1,45166666666667
"16";"ANTRAV0188";3,3875
"17";"ANTRAV0208";6,01333333333333
"18";"ANTRAV0211";3,58846153846154
"19";"ANTRAV0230";1,612
"20";"ANTRAV0293";6,37454545454545
"21";"ANTRAV0296";2,19625
"22";"ANTRAV0297";1,67666666666667
"23";"ANTRAV0369";10,0875
"24";"ANTRAV0381";9,67583333333333
"25";"ANTTUR0018";1,70153846153846
"26";"ANTTUR0022";2,72545454545455
"27";"ANTTUR0046";1,04909090909091
"28";"ANTTUR0065";2,944
"29";"ANTTUR0077";2,07
"30";"ANTTUR0079";4,75818181818182
"31";"ANTTUR0082";3,61
"32";"ANTTUR0094";6,2492
"33";"ANTTUR0257";1,9525
"34";"ANTTUR0270";2,81272727272727
"35";"ANTTUR0273";2,56090909090909
"36";"ANTTUR0277";5,27538461538462
"37";"ANTTUR0282";1,24714285714286
"38";"ANTTUR0287";30,87
"39";"ANTTUR0292";1,26714285714286
"40";"ANTTUR0295";1,35
"41";"ANTTUR0296";2,5172
"42";"ANTTUR0297";0,972857142857143
"43";"ANTTUR0299";3,184375
"44";"ANTTUR0300";4,0425
"45";"ANTTUR0301";4
"46";"ANTTUR0302";3,935
"47";"ANTTUR0304";5,0605
"48";"ANTTUR0305";8,975
"49";"ANTTUR0674";3,55692307692308
