"";"codeplas";"Mg_mean"
"1";"ANTARE0025";8,35666666666667
"2";"ANTARE0309";2,5475
"3";"ANTBAA0036";6,2175
"4";"ANTMRK0177";0,735
"5";"ANTMRK0204";1,39666666666667
"6";"ANTMRK0206";4,165
"7";"ANTOTH0015";1,97333333333333
"8";"ANTOTH0270";1,486
"9";"ANTOTH0271";0,767647058823529
"10";"ANTOTH0306";0,814545454545455
"11";"ANTOTH0324";0,568571428571429
"12";"ANTRAV0014";1,6
"13";"ANTRAV0052";4,02916666666667
"14";"ANTRAV0122";0,574545454545455
"15";"ANTRAV0175";0,5675
"16";"ANTRAV0188";1,41416666666667
"17";"ANTRAV0208";1,98416666666667
"18";"ANTRAV0211";3,12538461538462
"19";"ANTRAV0230";0,6004
"20";"ANTRAV0293";4,21772727272727
"21";"ANTRAV0296";3,535
"22";"ANTRAV0297";2,00083333333333
"23";"ANTRAV0369";7,065
"24";"ANTRAV0381";4,41916666666667
"25";"ANTTUR0018";0,816923076923077
"26";"ANTTUR0022";0,46
"27";"ANTTUR0046";1,07636363636364
"28";"ANTTUR0065";1,921
"29";"ANTTUR0077";1,53076923076923
"30";"ANTTUR0079";3,08
"31";"ANTTUR0082";4,79
"32";"ANTTUR0094";1,3276
"33";"ANTTUR0257";0,555833333333333
"34";"ANTTUR0270";2,14363636363636
"35";"ANTTUR0273";0,611818181818182
"36";"ANTTUR0277";1,60769230769231
"37";"ANTTUR0282";0,773571428571429
"38";"ANTTUR0287";8,35083333333333
"39";"ANTTUR0292";0,525714285714286
"40";"ANTTUR0295";0,461538461538462
"41";"ANTTUR0296";1,1852
"42";"ANTTUR0297";0,775714285714286
"43";"ANTTUR0299";3,42125
"44";"ANTTUR0300";2,73666666666667
"45";"ANTTUR0301";1,66944444444444
"46";"ANTTUR0302";1,06083333333333
"47";"ANTTUR0304";1,574
"48";"ANTTUR0305";0,571666666666667
"49";"ANTTUR0674";2,06307692307692
