,codeplas,NH4_N_zhjgem
1,ANTARE0025,0.059533054
2,ANTARE0309,0.048532381
3,ANTBAA0036,0.164362996
4,ANTMRK0177,0.103535746
5,ANTMRK0204,0.72475022
6,ANTMRK0206,0.055650463
7,ANTOTH0015,0.433297096
8,ANTOTH0270,0.396024227
9,ANTOTH0271,0.166174872
10,ANTOTH0306,0.04200257
11,ANTOTH0324,0.110265569
12,ANTRAV0014,0.050473676
13,ANTRAV0052,0.247191593
14,ANTRAV0122,0.147538438
15,ANTRAV0175,0.066004038
16,ANTRAV0188,0.038825905
17,ANTRAV0208,0.183775949
18,ANTRAV0211,0.077651809
19,ANTRAV0230,0.045396442
20,ANTRAV0293,1.021509551
21,ANTRAV0296,0.503766113
22,ANTRAV0297,0.079593105
23,ANTRAV0369,0.816638194
24,ANTRAV0381,0.214836672
25,ANTTUR0018,0.062121447
26,ANTTUR0022,0.047885282
27,ANTTUR0046,0.054356267
28,ANTTUR0065,0.042355532
29,ANTTUR0077,0.05694466
30,ANTTUR0079,0.262463115
31,ANTTUR0082,0.115183517
32,ANTTUR0094,0.72863281
33,ANTTUR0257,0.066004038
34,ANTTUR0270,0.091629135
35,ANTTUR0273,0.093182171
36,ANTTUR0277,0.063415644
37,ANTTUR0282,0.038825905
38,ANTTUR0287,0.069886628
39,ANTTUR0292,0.043679143
40,ANTTUR0295,0.05306207
41,ANTTUR0296,0.039124565
42,ANTTUR0297,0.038825905
43,ANTTUR0299,0.138047661
44,ANTTUR0300,0.199306311
45,ANTTUR0301,0.073416256
46,ANTTUR0302,0.062121447
47,ANTTUR0304,0.250603566
48,ANTTUR0305,9.294921572
49,ANTTUR0674,0.261427758
