"";"codeplas";"Na_gem";"Na_max"
"1";"ANTMRK0177";5,9825;12,11
"2";"ANTMRK0204";2,41583333333333;3,3
"3";"ANTMRK0206";30,3308333333333;37,16
"4";"ANTOTH0271";7,3;11,38
"5";"ANTOTH0306";3,50636363636364;5,86
"6";"ANTOTH0324";5,27083333333333;10,34
"7";"ANTRAV0014";2,63666666666667;3,52
"8";"ANTRAV0052";9,11083333333333;12,32
"9";"ANTRAV0122";2,62454545454545;2,91
"10";"ANTRAV0175";3,59333333333333;5,54
"11";"ANTRAV0188";9,35666666666667;13,75
"12";"ANTRAV0208";9,4;12,56
"13";"ANTRAV0211";10,9691666666667;14,73
"14";"ANTRAV0230";4,77076923076923;7,88
"15";"ANTRAV0293";4,787;7,89
"16";"ANTTUR0018";6,43153846153846;19,48
"17";"ANTTUR0022";4,11909090909091;6,73
"18";"ANTTUR0046";4,11454545454545;6,61
"19";"ANTTUR0065";16,8841666666667;24,58
"20";"ANTTUR0077";13,7791666666667;22,22
"21";"ANTTUR0079";6,23727272727273;9,49
"22";"ANTTUR0082";23,7930769230769;38,77
"23";"ANTTUR0094";7,765;15,61
"24";"ANTTUR0257";3,67166666666667;4,61
"25";"ANTTUR0270";1,90636363636364;3,97
"26";"ANTTUR0273";2,41818181818182;3,43
"27";"ANTTUR0277";9,4725;25,95
"28";"ANTTUR0282";2,87;3,68
"29";"ANTTUR0287";24,2354545454545;58,44
"30";"ANTTUR0292";6,35875;14,49
"31";"ANTTUR0295";3,16909090909091;5,35
"32";"ANTTUR0296";7,21916666666667;12,59
"33";"ANTTUR0297";3,785;4,96
"34";"ANTTUR0299";18,3566666666667;31,49
"35";"ANTTUR0300";12,8733333333333;16,63
"36";"ANTTUR0301";7,65833333333333;10,35
"37";"ANTTUR0302";5,32;9,41
"38";"ANTTUR0304";7,5525;12,38
"39";"ANTTUR0305";9,275;19,06
"40";"ANTTUR0674";8,01583333333333;18,71
