"","codeplas","AquaComponent","zhjgem"
"1","ANTARE0025","TN",2.945
"2","ANTARE0025","TP",0.1136
"3","ANTARE0309","TN",1.20333333333333
"4","ANTARE0309","TP",0.0943
"5","ANTBAA0036","TN",1.73166666666667
"6","ANTBAA0036","TP",0.14435
"7","ANTMRK0177","TN",4.28666666666667
"8","ANTMRK0177","TP",0.2707
"9","ANTMRK0204","TN",3.34
"10","ANTMRK0204","TP",0.627183333333333
"11","ANTMRK0206","TN",0.368333333333333
"12","ANTMRK0206","TP",0.0328166666666667
"13","ANTOTH0015","TP",0.0728
"14","ANTOTH0270","TN",1.258
"15","ANTOTH0270","TP",0.09248
"16","ANTOTH0271","TN",1.614
"17","ANTOTH0271","TP",0.0457
"18","ANTOTH0306","TN",1.33727272727273
"19","ANTOTH0306","TP",0.0603909090909091
"20","ANTOTH0324","TN",1.739
"21","ANTOTH0324","TP",0.05147
"22","ANTRAV0014","TN",1.57
"23","ANTRAV0014","TP",0.0344666666666667
"24","ANTRAV0052","TN",1.7925
"25","ANTRAV0052","TP",0.164116666666667
"26","ANTRAV0122","TN",2.15
"27","ANTRAV0122","TP",0.20088
"28","ANTRAV0175","TN",1.61666666666667
"29","ANTRAV0175","TP",0.174533333333333
"30","ANTRAV0188","TN",0.71
"31","ANTRAV0188","TP",0.0381666666666667
"32","ANTRAV0208","TN",1.82333333333333
"33","ANTRAV0208","TP",0.248783333333333
"34","ANTRAV0211","TN",1.33142857142857
"35","ANTRAV0211","TP",0.186171428571429
"36","ANTRAV0230","TN",1.40384615384615
"37","ANTRAV0230","TP",0.103961538461538
"38","ANTRAV0293","TN",3.046
"39","ANTRAV0293","TP",0.14332
"40","ANTRAV0296","TN",1.92
"41","ANTRAV0296","TP",0.0167
"42","ANTRAV0297","TN",1.23833333333333
"43","ANTRAV0297","TP",0.0203
"44","ANTRAV0369","TN",3.58666666666667
"45","ANTRAV0369","TP",0.1947
"46","ANTRAV0381","TN",1.72666666666667
"47","ANTRAV0381","TP",0.139666666666667
"48","ANTTUR0018","TN",1.10428571428571
"49","ANTTUR0018","TP",0.029
"50","ANTTUR0022","TN",1.2
"51","ANTTUR0022","TP",0.0509833333333333
"52","ANTTUR0046","TN",1.874
"53","ANTTUR0046","TP",0.07912
"54","ANTTUR0065","TN",1.17
"55","ANTTUR0065","TP",0.0508090909090909
"56","ANTTUR0077","TN",1.4
"57","ANTTUR0077","TP",0.0175
"58","ANTTUR0079","TN",1.656
"59","ANTTUR0079","TP",0.0446
"60","ANTTUR0082","TN",2.16333333333333
"61","ANTTUR0082","TP",0.167241666666667
"62","ANTTUR0094","TN",2.04833333333333
"63","ANTTUR0094","TP",0.117966666666667
"64","ANTTUR0257","TN",1.11
"65","ANTTUR0257","TP",0.03875
"66","ANTTUR0270","TN",2.408
"67","ANTTUR0270","TP",0.07894
"68","ANTTUR0273","TN",1.398
"69","ANTTUR0273","TP",0.07726
"70","ANTTUR0277","TN",2.01833333333333
"71","ANTTUR0277","TP",0.0266666666666667
"72","ANTTUR0282","TN",1.08125
"73","ANTTUR0282","TP",0.015
"74","ANTTUR0287","TN",7.686
"75","ANTTUR0287","TP",0.09852
"76","ANTTUR0292","TN",1.5025
"77","ANTTUR0292","TP",0.0235375
"78","ANTTUR0295","TN",0.981666666666667
"79","ANTTUR0295","TP",0.015
"80","ANTTUR0296","TN",1.27230769230769
"81","ANTTUR0296","TP",0.0448538461538462
"82","ANTTUR0297","TN",1.08625
"83","ANTTUR0297","TP",0.022625
"84","ANTTUR0299","TN",2.19
"85","ANTTUR0299","TP",0.0706444444444444
"86","ANTTUR0300","TN",2.22
"87","ANTTUR0300","TP",0.0528166666666667
"88","ANTTUR0301","TN",1.73
"89","ANTTUR0301","TP",0.0402727272727273
"90","ANTTUR0302","TN",1.73
"91","ANTTUR0302","TP",0.0404833333333333
"92","ANTTUR0304","TN",1.895
"93","ANTTUR0304","TP",0.0872181818181818
"94","ANTTUR0305","TN",19.885
"95","ANTTUR0305","TP",2.46968333333333
"96","ANTTUR0674","TN",2.87166666666667
"97","ANTTUR0674","TP",0.242433333333333
