"";"codeplas";"Temp_max"
"1";"ANTMRK0177";26,1
"2";"ANTMRK0204";24,8
"3";"ANTMRK0206";25,6
"4";"ANTOTH0271";27,3
"5";"ANTOTH0306";25,2
"6";"ANTOTH0324";23,8
"7";"ANTRAV0014";28,8
"8";"ANTRAV0052";22,5
"9";"ANTRAV0122";27,6
"10";"ANTRAV0175";29,3
"11";"ANTRAV0188";28,9
"12";"ANTRAV0208";28,7
"13";"ANTRAV0211";27,6
"14";"ANTRAV0230";28,2
"15";"ANTRAV0293";32,5
"16";"ANTTUR0018";29,5
"17";"ANTTUR0022";26,8
"18";"ANTTUR0046";27,2
"19";"ANTTUR0065";24,6
"20";"ANTTUR0077";29,1
"21";"ANTTUR0079";27,4
"22";"ANTTUR0082";25,2
"23";"ANTTUR0094";26,3
"24";"ANTTUR0257";25,4
"25";"ANTTUR0270";30,3
"26";"ANTTUR0273";29,9
"27";"ANTTUR0277";27,8
"28";"ANTTUR0282";28,9
"29";"ANTTUR0287";27,4
"30";"ANTTUR0292";31,7
"31";"ANTTUR0295";27,2
"32";"ANTTUR0296";25
"33";"ANTTUR0297";30,5
"34";"ANTTUR0299";26,9
"35";"ANTTUR0300";24,4
"36";"ANTTUR0301";26,7
"37";"ANTTUR0302";30,7
"38";"ANTTUR0304";25,6
"39";"ANTTUR0305";29,1
"40";"ANTTUR0674";28,7
