"","codeplas","WD_gem","WD_max","WD_min"
"1","ANTMRK0177",0.809166666666667,1.19,0.34
"2","ANTMRK0204",0.705,1.04,0.27
"3","ANTMRK0206",1.13083333333333,1.35,0.8
"4","ANTRAV0014",0.850833333333333,1.07,0.6
"5","ANTRAV0122",0.891818181818182,1.15,0.72
"6","ANTRAV0175",0.52,0.75,0.19
"7","ANTRAV0188",0.535833333333333,0.81,0.2
"8","ANTRAV0208",0.653333333333333,0.92,0.31
"9","ANTRAV0211",1.09307692307692,1.26,0.8
"10","ANTRAV0230",0.8416,1.12,0.6
"11","ANTRAV0293",0.397727272727273,0.77,0.1
"12","ANTTUR0018",0.470769230769231,0.68,0.2
"13","ANTTUR0022",0.466363636363636,0.67,0.27
"14","ANTTUR0046",0.480909090909091,0.83,0.22
"15","ANTTUR0065",0.721176470588235,0.92,0.43
"16","ANTTUR0077",0.661538461538462,0.79,0.42
"17","ANTTUR0079",0.747272727272727,1.33,0.19
"18","ANTTUR0082",0.556818181818182,1,0.25
"19","ANTTUR0094",0.3908,0.65,0.05
"20","ANTTUR0270",0.576363636363636,0.98,0.32
"21","ANTTUR0273",0.870909090909091,1.36,0.47
"22","ANTTUR0277",0.630833333333333,0.9,0.18
"23","ANTTUR0282",0.380714285714286,0.51,0.21
"24","ANTTUR0287",0.545454545454545,0.91,0.17
"25","ANTTUR0292",0.417142857142857,0.76,0.24
"26","ANTTUR0295",0.643333333333333,0.98,0.24
"27","ANTTUR0296",0.5545,0.73,0.33
"28","ANTTUR0297",0.325,0.45,0.2
"29","ANTTUR0299",1.024375,1.21,0.46
"30","ANTTUR0300",0.791666666666667,1.06,0.59
"31","ANTTUR0301",0.848125,1.25,0.49
"32","ANTTUR0302",0.501666666666667,0.78,0.25
"33","ANTTUR0304",0.643125,0.85,0.43
"34","ANTTUR0305",0.425,0.67,0.12
