"","codeplas","pH_min","pH_max","pH_bereik"
"1","ANTMRK0177",5.74,7.48,"5.74 - 7.48"
"2","ANTMRK0204",5.615,6.91,"5.615 - 6.91"
"3","ANTMRK0206",3.71,4.67,"3.71 - 4.67"
"4","ANTRAV0014",6.03,7.708,"6.03 - 7.708"
"5","ANTRAV0122",5.688,8.545,"5.688 - 8.545"
"6","ANTRAV0175",4.184,4.59,"4.184 - 4.59"
"7","ANTRAV0188",4.128,6.2,"4.128 - 6.2"
"8","ANTRAV0208",4.802,5.986,"4.802 - 5.986"
"9","ANTRAV0211",6.925,9.729,"6.925 - 9.729"
"10","ANTRAV0230",4.96,6.705,"4.96 - 6.705"
"11","ANTRAV0293",3.122,6.53,"3.122 - 6.53"
"12","ANTTUR0018",4.17,6.966,"4.17 - 6.966"
"13","ANTTUR0022",4.57,5.215,"4.57 - 5.215"
"14","ANTTUR0046",5.3,6.4,"5.3 - 6.4"
"15","ANTTUR0065",4.258,7.54,"4.258 - 7.54"
"16","ANTTUR0077",5.812,7.135,"5.812 - 7.135"
"17","ANTTUR0079",6.34,8.697,"6.34 - 8.697"
"18","ANTTUR0082",6.68,9.134,"6.68 - 9.134"
"19","ANTTUR0094",4.289,6.09,"4.289 - 6.09"
"20","ANTTUR0270",6.751,8.308,"6.751 - 8.308"
"21","ANTTUR0273",5.579,6.339,"5.579 - 6.339"
"22","ANTTUR0277",5.531,7.742,"5.531 - 7.742"
"23","ANTTUR0282",5.085,6.79,"5.085 - 6.79"
"24","ANTTUR0287",6.79,8.854,"6.79 - 8.854"
"25","ANTTUR0292",5.38,7.692,"5.38 - 7.692"
"26","ANTTUR0295",4.68,4.956,"4.68 - 4.956"
"27","ANTTUR0296",4.444,7.289,"4.444 - 7.289"
"28","ANTTUR0297",4.51,5.31,"4.51 - 5.31"
"29","ANTTUR0299",6.15,7.67,"6.15 - 7.67"
"30","ANTTUR0300",6.04,7.71,"6.04 - 7.71"
"31","ANTTUR0301",3.57,6.742,"3.57 - 6.742"
"32","ANTTUR0302",5.67,6.97,"5.67 - 6.97"
"33","ANTTUR0304",4.329,6.14,"4.329 - 6.14"
"34","ANTTUR0305",5.74,6.95,"5.74 - 6.95"
